context,text
tower top star,A fancy clock tower has a star on top.
chair table window,reclining chair and table by the window
sky flight jet,A jet in flight against a blue sky
racer turn lean,A racer leans around a turn.
fan look match,fans look on as players warm up ahead of the match .
wall lean portrait,portrait of an elderly man leaning over a wall
plate cover meat,A plate full with mixed vegetables and sauce covered meat. 
bridge cross dog,A dog and women with baby stroller crossing a bridge.
provide soldier security,a group of soldiers provide security
dress guitar suit,The man is dressed in a suit while playing his guitar. 
retrieve stick swim,swimming in the pond retrieving a stick
museum exhibit look,visitors look at exhibits at the museum
city leave train,the steam train leaving a city
space float astronaut,an astronaut floats in space
snowboarder jacket snowboard,a snowboarder in an orange jacket is airborne on a snowboard.
soar sky eagle,a painting of an eagle soaring through a golden sky
paint park motorcycle,Two colorful painted motorcycles parked near a train track.
record studio guitar,A man is recording himself playing a small guitar in a studio.
airplane park terminal,The airplanes are parked at the airport terminal.
player football foot,A rugby football flies from the foot of a player in a white uniform.
antique decorate room,antiques and furnishings inside a richly decorated living room and parlor
syrup pour pancake,maple syrup being poured over a stack of hot fresh pancakes
wagon horse pull,horse pulling man on wagon .
port ship unload,ship to unload at a sea port .
walk passenger train,passengers walk into a train .
perform player tackle,A football player shows how to perform an angle tackle .
serve chicken vegetable,shredded chicken served with vegetables .
job site work,A man is working at a construction site as a second job.
rail train ride,a train in a park rides the rails fastly
orange apple pear,"A close up of apples, pears and oranges."
cover pillow bed,The bed has pillows on the green covers. 
airport airplane flight,An airplane getting ready for flight at an airport.
tree chair beach,empty chairs between palm trees at beach
wait traveler airport,happy traveler waiting for the flight in airport
portrait lie grass,portrait of a cheetah lying and resting on red ground with green grass
circus perform elephant,Elephants and their riders perform at a circus.
bathroom toilet shelf,small bathroom with shelves above the toilet
action athlete team,athlete in action for rugby union team
bridge way train,a passenger train makes its way over a bridge above a makeshift cinema in the old quarters .
tower clock sky,a tower with a clock in it goes into the sky 
float pond surface,small pond with pretty yellow flowering water lilies and green lily pads floating on the surface of the water
wave tree wind,trees waving in the wind
cloud sky image,this is an image of a heart shaped cloud in the sky
skateboard grind rail,The teenage boy is grinding a skateboard on a steep rail.
bathroom feature fixture,the bathroom features a mix of old and new fixtures .
sun eat grass,A group of zebras eating grass and relaxing in the sun. 
wall television mount,A television mounted on a wall with cords behind it. 
airplane sky propeller,digital art image of vintage airplane with propeller flying in the sky with rain pouring
window ceiling floor,dramatic floor to ceiling windows
pizza onion cheese,"a pizza with ham, cheese and green onions"
image train track,an image of a train that is in a track
eat enclosure zebra,A large zebra in an enclosure eating hay
country match fan,fans react after country played country in a match .
sleep desk laptop,A cat sleeping on a desk near a laptop.
bathroom hang towel,There is a towel hanging in the bathroom.
clock tower town,famous falling tower with a clock in old town
wind move flower,flowers of tree moving on the wind
cover cloud moon,low hanging clouds cover a full moon near the tower seen
post tie horse,a grey horse tied to a post
field lay sheep,a small sheep is laying in a field
couch room screen,"A monitor screen, printer, couch and chair in the room"
produce market shop,An older woman shopping for produce at an open market.
sun cloud rise,sun rises above a fluffy sea of clouds
fisherman net work,A fisherman is working to fix his net.
take nurse care,nurse taking care of an old man
tree grow top,tree growing on top of a temple
fan match watch,a fan watches during the match
ceremony begin wait,Three men are waiting for an awards ceremony to begin.
school student walk,A group of students walk to school.
wagon pull kid,The kids pull a wagon.
wall bathroom mirror,A mirror on a wall in a bathroom. 
statue look museum,A statue at a museum that no seems to be looking at.
bride aisle father,bride and father walk up the aisle
carrot vegetable plate,A plate of carrots and green leafy vegetables.
tile bathroom tub,An opening into an unfinished bathroom with a tub and tile.
highway car move,cars moving fast on a highway
sea boat anchor,A sea with boats anchored at the bay
fly lake fishing,One man fly fishing on a lake.
sheep flock hill,flock of sheep on the hill
wall bathroom mirror,A bathroom decorated with mirrors on the wall.
feed park pigeon,flock of pigeons feeding in the grass of public park
look soldier tank,soldiers look at a tank
water herd hole,some zebras gather around a watering hole in a herd
cup coffee cake,The chocolate cake is near two cups of coffee.
rail train ride,this is a train riding down th rails
tray pizza hold,Four girls holding on to a tray of pizza.
hill sun rise,sun rises over the hill .
computer work dark,close up of serious lady working at computer in the dark
top tower castle,A large clock is at the top of a tower of a castle. 
canal steer boat,women pushing and steering a small boat through an open canal
tree trail side,this downed tree was along side the trail .
jump parachute plane,A couple is releasing their parachute after jumping from a plane.
athlete match team,athlete in a match for football team .
hang curtain bed,A four post bed with hanging curtains around it
museum tourist walk,A group of tourists are walking in a museum.
pizza vegetable cheese,A pizza with cheese and vegetables in a box.
look grass zebra,a zebra looks at the grass at a zoo
recur competition win,olympic athlete winning recurring competition
airport loading airplane,loading of an airplane in progress in the airport
cup coffee doughnut,Two glazed doughnuts and a cup of coffee.
pillow comforter bed,A bed covered in pillows and a comforter.
sit travel train,people sitting on a train traveling to their destinations with blurred movement of the train
cattle field herd,A herd of cattle grazing on lush green field.
statue sit lion,one of large statues of lions that sit at the base of tourist attraction
motorcycle sidecar park,motorcycle with a sidecar parked in an alleyway
horse graze pasture,plump horses graze on pasture
passenger flight board,passengers board a domestic flight
room feature fireplace,A living room with a fireplace and sofas are featured.
banana sale market,Bananas for sale at a local farmers market.
train come track,train coming down the track
dog lay pavement,lonely dog laying on the pavement
plate vegetable steak,"A plate with vegetable, mashpotato and steak for dinner"
spoon saucer cup,vintage cups and saucers stacked with spoons on the side
sky fill city,clouds fill the sky above a city .
plane sit tarmac,An old war plane sits on the tarmac.
flower land bee,bee in flight about to land on a flower
flower fountain park,fountain in the park with flowers
sugar add bowl,A man is adding sugar to a bowl.
bathroom counter vanity,A bathroom has a dark wood vanity and light counter.
room ceiling wall,damp on walls and ceiling of a room
eat shirt pizza,A man and a woman in brown shirts eat pizza.
train station depart,train departing from a station
island fly plane,island in the form of heart and flying plane
airport depart airplane,an airplane is departing airport on a frosty winter day
plate fruit place,Different types of fruit on a plate placed next to each other.
stand airport airplane,airplanes stand at the airport .
tree grow forest,a forest of eucalyptus trees grows .
scatter tree field,Two zebras are grazing in the field that is scattered with small trees.
shelf mount wall,A wall mounted with white shelves filled with clocks.
sit airplane airport,airplanes sit at a flooded airport .
time clock wall,a clock against a wall showing the time to be 3
field tree abandon,oak tree in an abandoned farm field .
pour alcohol shot,A man is pouring shots of alcohol into a blender.
pizza lot cheese,A large pizza covered in lots of cheese.
beach time spend,tourists spend time on a beach
giraffes pair tree,A pair of giraffes grazing on a field next to trees.
match session player,rugby player during a training session ahead of the match
wall surround city,ruins of ancient wall that surrounded the city .
lapse cloud pass,time lapse of storm clouds passing by on a late afternoon
day look sea,man looking out to sea on a windy day
wait luggage airport,Several men waiting on their luggage at the airport.
airplane sky airport,airplane approaching the airport and landing in a bright sky
park elephant ride,People having fun riding elephants together at a park 
face eye cat,A striking face and green eyes are apparent on the cat.
park family picnic,A family has a picnic at the park.
racer turn lean,A motorcycle racer leaning into a left turn.
city event hold,The rock climbing event is held in a city.
bridge cross train,a train crossing a bridge .
protect site road,entering protected site on road
eat giraffes pair,image of a pair of cute giraffes eating leaves
bar singe karaoke,People are singing karaoke at a bar.
bank boat lake,a small boat on the banks of a lake
zoo giraffe look,A giraffe looking to the side in a zoo
grass giraffe bend,A giraffe is bending down and eating grass.
station subway train,a train of subway in station
eat carrot rabbit,a rabbit is eating a carrot
knit sweater couch,Two girls are knitting a sweater while relaxing on the couch.
listen stethoscope heart,young woman doctor listening its own heart with a stethoscope
friend write letter,writing letter to a friend
lake float swan,graceful swans float in a lake
beach time spend,spending some time on the beach
match session player,players during session before the matches against country do interest .
lake marina boat,Some boats on a lake in a marina.
plate dish vegetable,A plate of green vegetables and dish of sauce.
track train shot,An upper shot of a train traveling down the tracks. 
horse graze pasture,the horse is grazing in the pasture
horse road buggy,a horse and buggy before paved roads
flower land bee,a small bee landed on a bunch of yellow flowers
fly airplane pilot,pilot flying in the cockpit of a small airplane
lay sofa dog,"A brown, black and white dog laying on a sofa."
land runway plane,A blue plane landing on an airport runway.
load wait worker,An airplane worker loads up a waiting Southwest jet.
keep watch soldier,A soldier is outside keeping watch.
enclosure zoo giraffe,Several giraffes wander around their enclosure at the zoo.
train station day,train on a foggy day at station
moor boat pier,boats moored to a pier
market thing buy,A group of people look for things to buy in a market
rest sheep lamb,young lamb resting on the sheep
team session coach,coach instructs his team during a training session
stop train track,train which has stopped on tracks
soccer field tree,Four people are playing soccer in a desolate field with a tree nearby.
forest fly tree,flying around large tree in the rain forest
sun hide cloud,sun hiding beyond the clouds on a bright summers day
feed butterfly flower,butterfly feeding on a flower
tunnel train enter,a train enters the train station in a tunnel
grass bench tree,benches on grass under the trees
tree feed elephant,A group of elephants feed in some trees.
carpet wall room,A room with stone walls and colorful carpet.
hand bolt tighten,large bolt and tighten the nut by hand
sheep grass graze,a group of sheeps grazing on grass .
student experiment work,Students working together analyzing their science experiment.
runway evening take,a passenger aircraft is taking off runway of international airport into the evening
bathroom towel rack,A bathroom has a few towel racks and towels.
cloud fly layer,the plane flies between layers of clouds
table topping pizza,a pizza with toppings on it on a table
train travel mountain,traveling through the mountain is a historic train
sauce pizza cheese,A pizza with cheese has white sauce on it.
village lead road,a narrow road leads into a village
work computer classroom,group of students working at computers in a classroom
seating fireplace room,An eclectic living room has a fireplace and seating.
bike park lot,many bikes parked in a parking lot very close to each other
rise moon city,a full moon rises over a city .
airport airplane flight,An airplane is taking off for flight to a new airport. 
pizza cheese put,putting cheese on the pizza
station subway train,An electric train or subway at the empty station.
bridge cross lake,a red bridge crosses a corner of the lake
room couch lamp,The room has a blue couch and easy chair near three lamps. 
wagon pull kid,A kid is in a wagon and someone is pulling it.
room lead bathroom,bedroom leads to the bathroom with tub and living room
time park spend,we spent some time at the park .
salmon eat bear,a grizzly bear eats salmon
runway move airplane,airplane moving on a runway
rescue cat tree,Firefighters are rescuing a cat from the tree.
banana table bunch,a bunch of bananas are on a table
airport park tarmac,an airplane parked on the tarmac at airport
read letter soldier,soldier smiling while reading a letter at sea
add color bathroom,painted crown molding adds a great punch of color to this bathroom
hill tree snowboard,two people snowboarding on a hill by some trees 
tarmac airplane walk,a pilot walks past his airplane on the tarmac
harbor park boat,A harbor filled with boats parked next to each other.
dress skier slope,Four skiers dressed alike traversing a large slope
look eat apple,young boy eating apple and looking at the globe
mountain goat graze,sheep and goats graze in a meadow at the base of the mountain .
feed sidewalk pigeon,A child feeds bread to pigeons as they flock around on a sidewalk.
hay field bale,bales hay on one of his fields .
cheese pizza eat,A girl is eating pizza with tomatoes and cheese. 
boat moor bay,small fishing boats moored off a bay
kid teach way,an unique way to how to teach your kids the true meaning .
tree train move,"A modern train is moving through a small town, trees and people."
toy cat lie,breed a cat lying on the orange carpet beside his toy
relax family boat,A family is relaxing on their bright yellow boat.
carrot look eat,A very large white polar bear eating whats looks like a carrot.
friend write letter,The women are writing letters to their friends.
fly range wing,A wing flying over a large mountain range.
pub watch sport,good old friends watching sports in a pub
sleep cat basket,tabby cat happily sleeping in a wicker basket
land take airplane,"An airplane takes off, or is landing at the airport."
cloud field tree,dark rain clouds over shadow a field of trees
train railway travel,people travel with the vintage train by the railway
field lay tree,Several sheep grazing and laying in a field with trees.
work laboratory scientist,scientists working in the laboratory
share table meal,a large dining table for guests to share meals
bathroom towel rack,A home bathroom with a rack above the toilet for towels
cattle hill graze,A large group of cattle grazing on a hill.
boat lake drive,driving boat on a lake
book fireplace room,fantasy vintage room with a fireplace and books
stain window builder,stained glass window of builder carrying the cross
walk city bridge,walking bridge over a city
fly sea plane,plane taking off at airport flying over the sea and desert
tile bathroom tub,your bathroom can be more than just a tub and tile .
grill hamburger dog,A grill with hamburger and hot dogs cooking
plain walk zebra,Two zebras walk outside on a grassy plain. 
terminal airplane airport,An airplane parked at its terminal at the airport
tower top star,red star on the top of tower
look direction tourist,a pair of tourists look for directions outside greek revival structure on a dull day
eat enclosure zebra,A zebra eats short grass inside its enclosure
sheep walk hill,Three sheep walk on the hill.
street patrol soldier,a soldier patrols the streets during a mission
plane land airport,a plane lands on the airport
stand tarmac airplane,An airplane with one wing stands motionless on the tarmac.
passenger train leave,passengers leaving a train on a station
watch train station,A red train leaving a train station with man watching.
come sky land,Looking up into a stormy sky at a jet coming in to land
aim ball billiard,concentrated woman aiming at ball while playing billiard in a pub .
graze horse road,horses grazing near a road
train tunnel leave,intercity train leaving a tunnel
track bridge travel,A railroad track traveling underneath a bridge in the day.
sky airplane mountain,There is a goat on a mountain and airplane in the sky.
pitch batter catcher,"A pitch is delivered as the batter, catcher, and umpire watch."
pizza topping tomato,The pizza has large tomatoes on the toppings.
beach resort chair,chairs under the palm trees on paradise beach at tropical resort .
coast boat sea,tropical coast with boats in the sea
look sky tower,A gothic looking clock tower is filling the clear sky.
curve train track,Toy train rounding the curve on the tracks.
day airplane fly,airplane flying on an overcast day
clock wall chair,A man at a chair with a wall of clocks behind him.
bakery knead dough,profession kneading dough in a bakery
ride traffic city,a group of motorcyclists riding with traffic in the city
plate glaze donut,A couple of glazed donuts on a plate.
tree pasture sheep,Sheep and lamb under a tree in a pasture.
building lead road,road leading up to the high rise buildings
sky tree shot,low angle shot of palm trees and blue skies on a sunny day
fountain cool day,dog in the fountain cooling down on hot summer day
mountain come train,A train coming out of an enclosure under a snowy mountain.
place worship locate,islamic place of worship located
grow mushroom tree,mushrooms grow off a birch tree
gear airplane land,A large green airplane has it's landing gear down.
time feed elephant,elephants getting ready for feeding time .
bathroom toilet bidet,The toilet and the bidet are in the bathroom.
rail train move,a train moving along the rail with many besides
train station drive,subway train drives up to the station close up
train pull engine,The engine of a train pulling many cars
lay beach towel,a white towel is laid out on the beach
table banana bunche,many bunches of bananas on a table 
giraffe walk habitat,The giraffes are walking together in a zoo habitat.
stare mouse cat,cat staring at a mouse coming out of her hole
sun hide cloud,rising sun partially hidden with clouds from behind the sea
dam flow water,water flows from the dam
cyclist road race,cyclists racing along the road .
mountain surround lake,lake from the surrounding mountains
bathroom tub feature,A bathroom featuring an oval free standing tub.
graze herd lake,a herd of fighting bulls grazing near an artificial lake
pear basket apple,fresh organic apples and pears in a basket
collect beach shell,A man is collecting shells on the beach.
type food dish,A few dishes of different types of food
reflection mirror stare,beautiful but vain young woman staring intently at her reflection in the mirror .
desk keyboard laptop,A laptop and a keyboard on a desk.
tree trail side,rocks and trees on the west side of the trail
elephant take care,Here is various different images of people taking care of and spending time with an elephant.
window end room,A long narrow room with a window at the far end.  
field oxen farmer,Hardworking farmer and oxen plowing his fields on a hot summer day.
plane park terminal,A plane is parked at a runway terminal
call firefighter respond,Some firefighters getting ready to respond to an emergency call
student chalkboard teacher,students learning while teacher demonstrates concepts on a chalkboard
fight fire fireman,The firemen have been fighting fires.
help tutor student,A tutor helps a student.
station head train,A passenger train that is heading to the station. 
moor boat port,a tug boat moored at the jetty in the port
giraffe walk habitat,A small giraffe is walking in his habitat
bridge pass boat,boat passes under the bridge
skier slope way,A skier navigating his way down a slope.
ball country match,country spikes a ball in a match against italy .
crawl toy reach,There is a boy crawling to reach a toy.
cloud train smoke,Some big clouds of smoke coming out of a big train.
elephant graze plain,A bunch of elephants grazing in an expansive plain.
work student teacher,students working with a teacher
laptop look student,Group of students looking at laptop with interesting image.
travel forest train,A train traveling past a forest filled with green trees.
herd eat sheep,a small herd of sheep eat some grass under the trees
porch rock chair,rocking chairs on an old porch
station train roof,a red train at a station with a glass roof
cargo load airplane,A large jet airplane getting loaded with cargo.
train track park,train parked on the tracks
cyclist road race,Many cyclists race down a road in uniform.
plane park terminal,the delta plane is parked next to the terminal 
anchor ship dock,ship anchored at a dock
family celebrate holiday,A family celebrating a holiday
skateboarder pool skate,The skateboarder is skating in an empty swimming pool.
plane airport landing,rainbow over the airport as planes com in for landings .
moon mountain rise,the rising moon behind a cross on a mountain
elephant take care,taking care of an elephant
brother sister school,A brother and sister have just graduated from school.
moor boat yacht,yachts and boats moored on the lake with autumn trees to the rear
cat vet take,the woman took her cat to the vet
dock ship city,cargo ship docked at the port of a city
storm wait pass,The two young people wait inside until the rain storm passes.
cat smell flower,there is a cat that is smelling some flowers 
tower building end,the octagonal tower on the west end of the building
mountain plane fly,a plane flying on the mountain very fast
friend drink alcohol,young friends drinking alcohol on the beach
warm match player,players warm up before a match
airport take aircraft,an aircraft takes off at the airport .
couple couch home,loving old couple on the couch at home in slow motion
elephant ride jungle,A man riding an elephant in the jungle.
plate chicken pizza,The plate is full of pizza with chicken and vegetables on it.
sleep bed pillow,a small baby sleeping on the bed with pillows
hike dog mountain,man hiking a mountain with his dog
wall frame hang,the frame hanging on a wall at an art gallery
fly formation jet,A group of jets flies in formation together.
tile bathroom tub,this is a bathroom and a tub with tile
syrup pour pancake,pouring syrup on the pancakes
station subway train,subway as a train gets ready to leave station
flower fountain park,A park surrounded by flowers with a fountain.
face eye cat,the face of a cat with blue eyes
outfit dress crowd,A group of people who are dressed in fancy outfits and dancing outside for a crowd.
bathroom toilet tub,a toilet and a tub in a bathroom
field park airplane,A parked airplane with yellow stripes in an empty field.
room ceiling wall,walls add refinement to the room with slanted ceiling
moor jetty boat,boats moored to an old wooden jetty
shower bathroom vanity,"A bathroom with a vanity, toilet and shower."
sky building tree,old brick building against a clear blue sky with trees
stand elephant zoo,A baby elephant is standing in a zoo.
run sky cloud,clouds run away after the rain and clear the sky
sheep gather flock,profession on a quad bike gathering flock of sheep off moorland
tent sleep family,a family sleeps in a tent
manager look match,manager looks on during match .
tree fungus grow,fungi growing on a tree
cloud field tree,time lapse with stormy clouds and trees on a field
station sit train,A red train sitting at an empty station.
cover moss rock,a rock covered in moss
work build shed,A group of people work outside in yard building a shed.
bathroom tub shower,A bathroom has a tub but no shower.
stand soldier formation,soldiers stand in formation at a military parade .
family time spend,family spend time in the park
pizza cover cheese,The pizza is covered in cheese and grease.
party guest food,The guest at the party are unhappy because there was no food.
bride flower bouquet,the bride chose glorious flowers for the bouquets
holiday event celebrate,special events for celebrating holiday
elephant savannah walk,some elephants are walking in the savannah
perform player tackle,A football player performing a tackle.
fruit orange bowl,A white bowl filled with oranges and other fruits.
entrance guard stand,a guard stands near the entrance
build structure work,Two men working to build a steel structure.
look sheep herd,a nomad looks over his herd of sheep
elephant herd graze,A herd of elephants grazing in a field.
reef diver explore,scuba divers explore a reef
ground lie camel,camels at the fair ground which lies
grass eat deer,deer eats grass on a glade
feed street pigeon,young boy feeding pigeons in a derelict street
rise sun horizon,sun rising on the horizon
room couch fireplace,A couch in a living room by a fireplace.
museum hang wall,art museum with paintings hanging on the walls .
bathroom hang towel,An all white bathroom with a hanging towel
wagon farmer horse,a farmer in a wagon being pulled by a horse
chair room feature,A dining room features both chairs and a bench. 
pull book shelf,pulling her books from the shelf
outside clock building,A clock on the outside of a big building.
pass statue walk,A woman stares at a gray statue she passes while walking.
look bedroom room,make your bedroom look like a hotel room
gate plane park,A plane on the tarmac is parked at a gate.
herd stand meadow,herd of deer standing on the meadow at sunrise
paint add color,painted crown molding adds a great punch of color to this bathroom
look structure tower,An eiffel tower looking structure near a corner
work laboratory scientist,a scientist works in her laboratory .
lie dog blanket,pug dog lying under a blanket
balcony chair table,table and chairs on the balcony
eat tree top,elephant eating from top of a tree
look sky tower,the tower looks like a giant lantern hanging in the sky
pizza eat cook,a little girl eating and cooking some sort of pizza.
train come station,tube train comes to station .
dog yard lie,"Two dogs, one lying down, play in a yard."
soldier stand vehicle,A soldier is standing on a military vehicle.
mount wall frame,love this concept of a flat screen tv in an antique frame mounted on the wall .
runway move airplane,An airplane that isn't moving on the runway yet. 
statue look museum,monks looking at statues in the metropolitan museum of art
coffee image cup,image shows a cup of coffee .
train travel coast,train traveling along the coast .
fire fireman battle,Firemen are battling a fire.
train pull engine,steam engine pulls a train
track car move,cars moving along the tracks .
grass zebra enclosure,Two grown zebras eating grass in an enclosure.
chocolate cookie plate,round cookies with chocolate in a plate
hang wall portrait,This bathroom has portraits hanging on the wall.
island fly plane,A plane flies over water with two islands nearby.
park jet terminal,a jet parked at a terminal
clock room wall,A small clock on a wall in a room.
fan arrive match,fans arrive prior to third round match .
portrait wallpaper contain,wallpaper containing a portrait titled
clock church tower,A clock on a tower at a church.
grow trunk mushroom,mushrooms growing out of an old tree trunk
bathroom look toilet,The toilet in the bathroom looks very old
friend talk day,men pass the time of day talking with friends
mustard ketchup hotdog,The hotdog is drizzled with yellow mustard and ketchup
coffee cup morning,serving a cup of coffee in the morning
wall lean surfboard,A man in a small room with his surfboard leaning against the wall.
customer shop stand,A cake and sweet shop where customers are standing.
light bathroom let,a small bathroom with a window to let light in.
doctor hospital stand,an arab man standing with a doctor inside the hospital .
toilet bathroom stall,Three bathroom stalls with toilets in a restroom
visit worship place,visiting islamic place of worship
fight fire fireman,A fireman fights a fire.
sleep desk laptop,young man in a suit sleeping on the desk next to a laptop
athlete match team,athlete leads out his team during the match
exam classroom take,The people are taking their exams in the classroom.
tree moon rise,a perigee moon rises behind a tree
fruit include orange,various fruits including oranges and grape fruits 
park jet terminal,Various jets parked in their terminals at the airport
concert musician instrument,Some musicians are preparing their instruments for the concert.
record studio guitar,guitars are available for guests to use and record with in recording studio
nurse talk patient,nurse talking to a patient
tree grow collection,typical collection of cacti and fir trees growing in the volcanic soil on the west coast
skateboarder skate wall,A skateboarder is skating on a wall.
room toilet bathroom,A toilet that is in a room in a bathroom.
bee hover flower,the bee is hovering over the white flowers
wall tile bathroom,black walls and tiles in the bathroom
wall lean portrait,portrait of little girl with a crown leaning against blue wall
bear lie zoo,Two polar bears lying on rocks at a zoo 
sun cloud rise,clouds as the sun rises
sky roll cloud,rolling clouds and blue skies roll over the peak .
street patrol soldier,soldiers patrol the streets of t
passenger sit train,A cable train with passengers sit on it tracks.
furrow stare brow,Someone stares at the sky then furrows his brow.
pizza eat cook,A girl eats cooked pizza.
dip water toe,A blond girl dips a toe in the water.
statue base sit,young people sit at base of statue in the city
decorate home holiday,the chic way to decorate your home for holiday
carry builder cross,builder carrying the cross ... vertical
perform fan concert,fans performs as part of the concert
serve party drink,drinks are served during the party .
sky cloud storm,the sky is grey clouds before a storm
top eagle tree,wide shot of an eagle and its nest on top of a tree
add color food,add food coloring if you want a more yellow tint
structure build frame,There are children building a frame for a structure.
sleep mother watch,A mother watches her baby sleeping.
smile daughter mother,mother and daughter embrace and smile on a beach
come airplane sky,A large white airplane coming downwards from the sky.
look grass bear,Two bears resting in the grass and looking around.
skateboard grind rail,A man grinds a rail on his skateboard.
vanity wall bathroom,"small bathroom with white toilet, walls, and vanity"
hang curtain room,extend dark room with curtains hanging
look statue liberty,the statue of liberty looked pretty weird in the middle
chair beach fold,folding chairs on a beach
nurse doctor hospital,nurse and doctors in a hospital
window stain room,A large room with a plush couch and stained glass windows.
cloud fly formation,Seven airplanes are flying in a formation under clouds.
lie dog blanket,The dog and her puppies lay on a blanket.
canal gondola ride,Riding gondolas in the canals of Suecia.
candle burn church,burning candle in a church
race cyclist win,The cyclist is winning the race
day airplane airport,airplanes at airport in the bright sunny day
vase bunch rose,a vase of glass with a bunch of white roses
day city train,a city brings a train in days
monk temple sit,buddhist monk sitting in the temple
throw pillow room,throw this decorative pillow in any room to add a little bit to your living space .
dry market fish,dried and salted fish at the market
museum tourist walk,Tourist walking around an art museum.
city train come,The train comes through the city at dusk.
match stadium watch,A stadium full of people watching a tennis match.
sit airport tarmac,a lion airplane sits on the tarmac of airport .
family take portrait,The family gets a portrait taken
hang shelf wall,A wall with books shelves and two plates hung on it.
hill hiker walk,hikers walk along the hills
station wait subway,People wait outside a subway that is in the station.
sky cloud storm,dark clouds in the winter sky during a storm at sea
stand soldier formation,soldiers stand in formation to welcome the presidents
reflection watch mirror,Someone watches his reflection in the mirror.
track train station,railroad tracks with trains in the station
skier slope way,a skier makes his way down the slopes on tuesday .
top cross building,detail of an old church building with a cross on the top .
savannah zebra herd,herd of zebras on the savannah
wall room artwork,artwork on the walls of the room
sit lake canoe,canoes sit on the shore of a lake .
gallop pasture horse,horses galloping in a summer pasture
toddler bath take,The toddler just took a bath.
pizza bake oven,A brick oven that is baking a pizza.
plane land airport,A plane has just landed at an airport.
cat windowsill sleep,cats sleeping on a windowsill
soldier sit tank,soldiers sit atop a tank emblazoned with the word
vegetable bowl salad,"A bowl of soup, bagel with hummus and fresh vegetable salad"
snow bear sleep,a polar bear sleeps on a bed of snow
airplane runway take,an airplane is taking off from the runway
horse graze pasture,horses graze in a pasture
city building vehicle,Colorful vehicles in roadway near large building in city.
leader mass celebrate,religious leader celebrated mass on saturday
building wall clock,A clock is on the wall of a building.
bow ribbon tie,gold ribbon tied in a bow
reflect cloud sky,clouds and sky reflect in a calm inlet
speed train travel,train travelling at speed through the countryside
float pond surface,a frog floating on the surface of a pond
cloud move mountain,time lapse of moving cloud over the mountain
skier slope sky,A skier is headed down a slope on her skies.
honey bee hive,bees fly out of the hive to collect honey
butterfly nectar flower,butterfly drinking the nectar on flower
horse ground lie,I hope that horse lying the ground is not dead.
bench beach overlook,A bench on a hill overlooking a beach.
furniture room look,The furniture in the large living room looks new.
track building train,a train on a track near a building
slope skier valley,restaurant for skiers on the slopes of valley
reflect water sunlight,rays of sunlight reflect off chilly waters
fisherman net work,A fisherman works on his net while on shore.
lie face pillow,A woman's face and head lying on a pillow
banana hang wall,Bunches of bananas hang on a wall and arranged for sale.
bread oven bake,Two loaves of bread baking in an oven.
hat wall hang,hats hung on the wall
concert music musician,musicians playing music for a concert.
tree rest cat,cat resting in the hollow of an old tree
