context,text
cake couple stand,the couple stands by the cake
cake couple stand,The couple is standing next to a cake.
cake couple stand,A couple stands behind their wedding cake.
window stare cat,cat staring at the window
window stare cat,A cat staring out a window.
window stare cat,The cat stares out of a four paned window.
hospital patient nurse,nurse with a patient in the hospital
hospital patient nurse,nurse visiting her patient at the hospital
hospital patient nurse,nurses take care of a patient at a hospital .
lie dog blanket,pug dog lying under a blanket
lie dog blanket,A man lies on a blanket with his dog.
lie dog blanket,The dog and her puppies lay on a blanket.
field plow farmer,A farmer plows his field.
field plow farmer,The farmer is plowing his field.
field plow farmer,A couple of farmers plowing a field
blanket cat lie,cat lying on a blanket
blanket cat lie,Two cats lay together on a blanket. 
blanket cat lie,cat lying in a blanket in the sunlight
painting room wall,living room with painting on the wall
painting room wall,A room that has a lot of paintings on the wall.
painting room wall,there were numerous paintings on the walls in this room .
head skier slope,The skier is headed down a slope.
head skier slope,A group of skiers heading down the slopes
head skier slope,Skiers are headed down a small slope by their cabin.
smile daughter mother,mother and daughter smiling in the winter
smile daughter mother,mother and daughter embrace and smile on a beach
smile daughter mother,A mother and daughter are smiling close together.
gather friend family,gather your friends and family .
gather friend family,friend and family gathered round the font
gather friend family,friends and family gather often for a buffet .
plow pull horse,A horse is pulling a plow.
plow pull horse,The horses are pulling the plow.
plow pull horse,women guide a plow pulled by draft horses
share table meal,people sharing a meal at a table
share table meal,a large dining table for guests to share meals
share table meal,The woman and children share a meal at the table.
construction building crane,cranes and buildings under construction
construction building crane,large crane over a building under construction
construction building crane,construction the buildings with the help of cranes
bow ribbon tie,gold ribbon tied in a bow
bow ribbon tie,tie a basic bow with ribbon
bow ribbon tie,white gift box with red ribbon tied in a bow
park family picnic,family on the picnic in park
park family picnic,A family has a picnic at the park.
park family picnic,young family having picnic in a park
reflect water sunlight,sunlight reflected in the water
reflect water sunlight,sunlight reflecting off the water
reflect water sunlight,rays of sunlight reflect off chilly waters
passenger sit train,passengers sitting in a train
passenger sit train,passengers sit aboard a train at the station .
passenger sit train,A cable train with passengers sit on it tracks.
clock room wall,A small clock on a wall in a room.
clock room wall,A clock rests along the wall of a room.
clock room wall,There are two clocks on the wall in the room.
room ceiling wall,damp on walls and ceiling of a room
room ceiling wall,walls add refinement to the room with slanted ceiling
chew bone dog,a dog chews a bone
chew bone dog,The dog is chewing a bone.
chew bone dog,Dogs lay down and chew bones
airport plane wait,planes waiting at an airport
airport plane wait,a plane waits to depart from airport
airport plane wait,plane waiting on the apron of airport
skier slope way,A skier navigating his way down a slope.
skier slope way,Skiers are making their way down a slope.
skier slope way,a skier makes his way down the slopes on tuesday .
slope skier descend,The skier descended down the slope.
slope skier descend,A skier slowly descending the slope.
slope skier descend,A skier bends his knees as he descends a slope.
vegetable bowl salad,fresh salad with vegetables in a bowl
vegetable bowl salad,A bowl full of salad and different vegetables
vegetable bowl salad,"A bowl of soup, bagel with hummus and fresh vegetable salad"
sleep bed pillow,kitten sleeping on a pillow in bed
sleep bed pillow,man in bed trying to sleep with a pillow
sleep bed pillow,a small baby sleeping on the bed with pillows
herd pasture sheep,herd of sheep on a pasture .
herd pasture sheep,herd of sheep in the pasture
herd pasture sheep,A herd of sheep grazing in an open pasture.
collect beach shell,A man is collecting shells on the beach.
collect beach shell,some sea shells collected along beaches .
collect beach shell,another great idea for the shells we collect at the beach
board airport plane,travelers board a plane at the airport
board airport plane,Plane being boarded by people in an airport
board airport plane,Plane boarding passengers while at a fancy airport
flight passenger wait,passengers wait for their flights
flight passenger wait,passengers wait to get on a flight
flight passenger wait,passengers waiting for flight at the terminal .
surface float water,leaves floating on the surface of still water
surface float water,He dives into the water and floats to the surface.
surface float water,a man floats at the surface with his face in the water .
tree shade bench,bench in the shade of an oak tree
tree shade bench,two benches near a tree under the shade
tree shade bench,A bench positioned among the tall trees for shade
post tie horse,a grey horse tied to a post
post tie horse,Two brown horses tied up at a post.
post tie horse,The horse is tied up to the post outside.
feed park pigeon,A boy feeding pigeons at a park.
feed park pigeon,A woman feeds pigeons in the park.
feed park pigeon,flock of pigeons feeding in the grass of public park
track car move,cars moving along the tracks .
track car move,A boy is moving toy cars on a toy car track.
track car move,A trolley car moves down the tracks in a city.
skateboarder skate park,A skateboarder skating at a skate park.
skateboarder skate park,A group of skateboarders are skating at the park.
skateboarder skate park,A skateboarder skates next to a ledge in a skate park.
lie carpet dog,Two dogs lay on the carpet.
lie carpet dog,boy and his dog lying on a carpet
lie carpet dog,old sad grey and black dog lies on a carpet
furniture room carpet,A live room with beige furniture and carpets
furniture room carpet,A large living room has a lot of furniture and carpet.
furniture room carpet,A man is vaccuming the carpet in a room with no furniture.
eat carrot rabbit,a rabbit is eating a carrot
eat carrot rabbit,a group of rabbits eat carrots
eat carrot rabbit,bunny rabbit eating carrot in the garden
ring fight boxer,boxers fighting in a ring
ring fight boxer,boxers fight on the boxing ring
ring fight boxer,A pair of kick boxers fighting inside of the ring.
skateboarder street skate,A skateboarder skating down a street.
skateboarder street skate,The skateboarder skated down the street.
skateboarder street skate,The skateboarders skate through the city streets.
seagull fly boat,Seagulls fly over a boat.
seagull fly boat,a fishing boat with seagulls flying around
seagull fly boat,There are lots of seagulls flying near a boat.
spend room time,spend some time with us in our living room .
spend room time,way too much time spent in this room every day
rain wait stop,waiting for the rain to stop
rain wait stop,school girls wait for the rain to stop before continuing with class
rain wait stop,Five men wait in a tunnel for the rain to stop during their bike race
bread oven bake,bread baked in an old oven
bread oven bake,A woman is baking bread in the oven.
bread oven bake,Two loaves of bread baking in an oven.
cheese oven pizza,a cheese and pepperoni pizza in an oven
cheese oven pizza,Cheese and herb pizza fresh from the oven.
cheese oven pizza,An oven filled with three pizzas covered in cheese.
carpet wall room,A room with stone walls and colorful carpet.
carpet wall room,A man is installing carpet along a wall in a room.
carpet wall room,A wildly decorated living room with a carpet on the wall!
skier slope sky,skier on a slope against the cloudy sky
skier slope sky,A skier is headed down a slope on her skies.
skier slope sky,A jet in the sky and some skiers on snowy slopes
shine sky light,A dim light shines on the dark sky.
shine sky light,flight through shining lights in the sky
shine sky light,A bright white light shines in front of a cloudy sky.
sheep walk hill,Three sheep walk on the hill.
sheep walk hill,a herd of sheep walk on a grassy hill
sheep walk hill,A dark sheep is walking over the hill.
plane boat fly,A plane flies over a boat.
plane boat fly,a large boat with a plane flying above
plane boat fly,a blue and red plane is flying by a boat
bench beach overlook,A bench on a hill overlooking a beach.
bench beach overlook,A tree and some benches overlook the beach
bench beach overlook,This is an image of a bench overlooking a beach.
shelf book stand,book standing on a shelf
shelf book stand,A cat stands on a shelf full of books.
shelf book stand,the book standing up in a white shelf .
diver water dive,The diver dives out into the water.
diver water dive,We see the divers dive in the water.
diver water dive,group of divers before diving into the water
pizza cheese put,putting cheese on the pizza
pizza cheese put,A woman is putting cheese on a pizza.
pizza cheese put,A female child putting cheese on poorly made pizzas.
hand reach grab,A hand reaches and grabs him.
hand reach grab,He reaches up to grab someone's hand.
hand reach grab,hands of zombie reaching out to grab a gift box
sit lake canoe,A man sits in a canoe on a lake.
sit lake canoe,canoes sit on the shore of a lake .
sit lake canoe,Two men in two canoes are sitting in a lake.
rail train move,freight train moving on the rails
rail train move,a train moving along the rail with many besides
station wait subway,People wait outside a subway that is in the station.
station wait subway,A subway station with a subway waiting for passengers.
station wait subway,People are waiting on the subway to stop at the station.
lady work computer,old lady working hard on computers
lady work computer,a lady works on her computer at dusk visible
color die hair,if i ever die my hair it gon na be this color
color die hair,we had a fun afternoon of dying our hair funky colors
color die hair,A man is dying the hair of a woman with a very rich purple color
tunnel train enter,A train gets ready to enter a tunnel.
tunnel train enter,a train enters the train station in a tunnel
trough eat hay,goat eats hay from the trough
trough eat hay,a giraffe eating some hay out of a trough
trough eat hay,The sheep are eating hay in from a trough.
pier sit lake,Two people sit on a pier at a lake.
pier sit lake,little boy sitting on the pier of the lake
pier sit lake,young woman sits on a wooden pier on the lake
computer library work,adults working on computers in a library
computer library work,students work at a row of computers in the library
hair separate section,She separates her hair into sections.
hair separate section,"A woman is working on her hair, separating it into sections."
hair separate section,an image of a model demonstrating how to separate hair into sections .
head window poke,A man pokes his head out of a window.
head window poke,A horse's head poking through a window in a barn
head window poke,a zebra that has his head poked through the window
lie ground sheep,flock of sheep lying on the ground
lie ground sheep,many white sheep lying on a rocky ground
lie ground sheep,Two sheep lay on the ground next to each other.
leg cat sleep,our cat sleeps on the legs of our cat
leg cat sleep,A baby with its leg over a sleeping cat.
leg cat sleep,tree is a cat sleeping between someones legs
tree lie grass,Sheep lie in the shady grass around a tree. 
tree lie grass,A ginger cat lying in green grass under a tree
tree lie grass,young kangaroo lying down in the grass under trees
cat sleep tree,cat sleeping in a tree
cat sleep tree,a sleeping cat against the cherry trees
cat sleep tree,tree is a cat sleeping between someones legs
shore walk lake,Men walk along the shore of the lake.
shore walk lake,boys walking on the shore beside lake
shore walk lake,a woman walking by the shores of deepest lake
fly moon airplane,acrobatic airplane flying around the moon
fly moon airplane,An airplane flying over a big harvest moon
building lead road,road leads to a building and sunrise
building lead road,road leading up to the high rise buildings
building lead road,The road leads toward a tall white building.
passenger luggage airport,passengers collecting luggage at an airport
passenger luggage airport,passengers waiting for their luggage at the airport
passenger luggage airport,A group of passengers and their luggage at an airport.
ski mountain day,A man skis down a mountain on a snowy day.
ski mountain day,a woman skiing on a clear day in mountains
ski mountain day,a group of people ski down a mountain during the day
train come stop,the subway train comes to a stop
train come stop,a blue and white passenger train coming to a stop
train come stop,Several trains coming to a complete stop on the tracks.
wheelchair push lady,A lady is pushing a wheelchair.
wheelchair push lady,A boy is pushing an old lady in a wheelchair through the hallway.
wheelchair push lady,woman with dogs trying to push an elderly lady in wheelchair through gate
lay beach towel,little girl lays towel on the beach
lay beach towel,a white towel is laid out on the beach
lay beach towel,A man and woman are laying towels down at the beach.
run sheep road,run off the road by sheep
run sheep road,sheep running alongside a road
run sheep road,A small herd of sheep run down the road.
fly lake fishing,One man fly fishing on a lake.
fly lake fishing,autumn fly fishing in the lake
fly lake fishing,fly fishing at a mountain lake
look eat apple,woman looking at man eating an apple
look eat apple,The ornamental apples looked good enough to eat
look eat apple,young boy eating apple and looking at the globe
cheese pizza eat,A boy eats pizza and macaroni and cheese.
cheese pizza eat,A girl is eating pizza with tomatoes and cheese. 
cheese pizza eat,a hot pizza topped with cheese and olives to be eaten 
mouth mouse cat,cat has the mouse in mouth
mouth mouse cat,Black cat with mouse in mouth.
mouth mouse cat,hungry cat with a mouse as prey in mouth
skateboard skateboarder fall,The skateboarder fell off his skateboard
skateboard skateboarder fall,A skateboarder is about to fall off his skateboard.
skateboard skateboarder fall,A the skateboarders are falling off their skateboards.
take care horse,taking care for the horse
take care horse,A young girl takes care of a horse.
take care horse,Two women taking care of the two horses.
bathroom take shower,A man is in bathroom taking a shower.
bathroom take shower,White tiled bathroom with blue walls taken from inside shower.
barber haircut give,A barber giving a haircut.
barber haircut give,the barber gives a haircut to a young boy
box room fill,the white room is filled with many boxes
box room fill,stacks of boxes and other items fill a room
box room fill,Two men are playing ping pong in a room filled with boxes.
highway speed car,cars speeding along a highway
highway speed car,A flashy sports car is speeding down the highway.
highway speed car,The car moves faster as they speed off the highway.
stand dock ship,a ship stands by a dock
stand dock ship,some people standing on a dock and a big gray ship
stand dock ship,military men standing on the dock next to a ship .
look map find,look what i found on maps .
look map find,Both are looking at the map to find out the direction.
look map find,tourists stop to look at a map while trying to find their way
room screen wall,A flat screen mounted to a wall in a living room.
room screen wall,rooms are separated by a combination of solid walls and screens
room screen wall,double flat screens mounted on the wall in the conference room .
slope snowboard mountain,The people are on mountain snowboarding down the slope.
slope snowboard mountain,A wintery mountain with someone snowboarding on a slope
add pizza topping,adding toppings to a homemade pizza
add pizza topping,Five pizzas sitting on a counter as toppings are being added.
add pizza topping,children adding toppings to a pizza during the launch of the event .
produce market shop,local people shop for produce at a market .
produce market shop,People are shopping for produce in the market.
produce market shop,An older woman shopping for produce at an open market.
restaurant work counter,Three employees work behind the counter of a restaurant.
restaurant work counter,An older woman is working behind a counter at a restaurant.
restaurant work counter,An empty restaurant with two employees working behind the counter.
perform yoga beach,young woman performing yoga on a beach
perform yoga beach,yoga being performed at sunrise on a beach
perform yoga beach,group of people performing yoga on the beach
band audience concert,An audience at a live concert cheering on the band.
band audience concert,An audience awaits a concert from their favorite band
band audience concert,People in a band are playing a concert for a large audience.
restaurant employee work,The employee works for the restaurant.
restaurant employee work,Two employees working at a restaurant during Dinnertime.
restaurant employee work,Three employees work behind the counter of a restaurant.
sleep ball cat,cat sleeping in a ball
sleep ball cat,cat is sleeping with a ball of yarn .
sleep ball cat,domestic tabby cat curled into a ball sleeping
horse ground lie,gray horse lying on the ground
horse ground lie,I hope that horse lying the ground is not dead.
horse ground lie,a woman lies on the ground smiling with a horse
climb bar playground,A girl is climbing on some bars at a playground.
climb bar playground,The boy is then seen climbing on monkey bars as well as a man running around the playground.
reflection mirror stare,A cat stares at its reflection in a mirror.
reflection mirror stare,A man is staring at his reflection in the mirror. 
reflection mirror stare,beautiful but vain young woman staring intently at her reflection in the mirror .
bathroom tile lay,Man laying tile in his bathroom.
bathroom tile lay,Two young men laying tile in a bathroom.
bathroom tile lay,A cean lookign bathroom is laid out with tile
sugar add bowl,Sugar is added to the bowl.
sugar add bowl,A man is adding sugar to a bowl.
sugar add bowl,She adds soda and sugar to the bowl.
grind park skateboarder,A skateboarder in a park grinding on a rail.
grind park skateboarder,skateboarder grinding down the retaining wall of a park
walk lake bridge,People walk on a small bridge over a lake.
walk lake bridge,people walking along the blue bridge on lake
walk lake bridge,A man is walking under a bridge in a shallow lake.
wagon farmer horse,a farmer in a wagon being pulled by a horse
wagon farmer horse,Horses and a farmer pulling wagons on a farm.
wagon farmer horse,farmers load the hay on a wagon pulled by horses
airport luggage traveler,the travelers wait for their luggage at the airport
airport luggage traveler,A group of travelers walking through an airport with luggage.
airport luggage traveler,travelers with luggage waiting in the lounge of the international airport
dog yard lie,a lazy dog lying in the yard
dog yard lie,"Two dogs, one lying down, play in a yard."
sleep watch bed,A boy sleeping in bed while watching TV.
sleep watch bed,happy parents watching their baby sleeping on a bed at home
sleep watch bed,A young girl sleeping in her bed as her mom is there to watch her
lay beach couple,a couple of people laying out on a beach
lay beach couple,couple laying in the sun on a shingle beach in summer
ground lie camel,camels at the fair ground which lies
ground lie camel,A couple of camels are lying on the ground next to their riders.
family giraffes zoo,looking on family of giraffes at the zoo
family giraffes zoo,A family is visiting a zoo and are looking at the giraffes.
middle field building,old farm buildings in the middle of field
middle field building,A red post in the middle of a field behind a building.
plate table pizza,a plate of pizza on a table 
plate table pizza,A table that has three plates of pizza.
plate table pizza,The pizza is on the plate on the table.
meat vegetable plate,We see a plate of meat and vegetables.
meat vegetable plate,Some meat and vegetables are on the plate.
meat vegetable plate,A plate has many vegetables and meats on it
room couch chair,A couch and a chair in a room.
room couch chair,a living room with couches and chairs
room couch chair,A brown couch is the only chair in the room.
beach chair umbrella,chairs and umbrella on a beach
beach chair umbrella,chair with umbrella near the beach
beach chair umbrella,deck chairs with umbrellas on the beach
graze grass horse,horse grazing the grass at sunrise
graze grass horse,a horse grazes on some green grass 
graze grass horse,Two horses grazing out in the grass 
building clock top,a clock on the top of a building
building clock top,a large building that has a clock at top
building clock top,A tan building with ornate clocks on top.
graze field sheep,sheep grazing in a field
graze field sheep,sheep grazing on the fields
graze field sheep,Six sheep are grazing in an open field
wall toilet bathroom,A toilet in a bathroom next to a wall.
wall toilet bathroom,A bathroom with white walls and a toilet 
wall toilet bathroom,two toilets in a bathroom with no privacy walls
track train station,a train on track at station
track train station,train tracks at the train station .
track train station,railroad tracks with trains in the station
pizza piece plate,A piece of pizza is on a plate
pizza piece plate,Two pieces of pizza are on the plate.
pizza piece plate,A plate topped with four pieces of pizza.
park train station,a long red train parked at a station
park train station,intercity train parked in the station
park train station,Sleek train that is parked at the station
motorcycle lot park,A motorcycle is parked on a gravel lot
motorcycle lot park,Motorcycles parked in a wet parking lot. 
motorcycle lot park,A lot of motorcycles parked next to each other.
cloud move sky,clouds moving on the sky
cloud move sky,cloud moving in a blue sky
cloud move sky,clouds moving across a sky with trees
player match look,players look during the match .
player match look,tennis player looks on during a match
player match look,soccer player looks on ahead of the match
bridge cross train,a train crossing a bridge .
bridge cross train,the steam train crosses a bridge
bridge cross train,train crossing the railway bridge
fly airplane cloud,airplane flying in the clouds
fly airplane cloud,airplane fly into a storm cloud
fly airplane cloud,An airplane is flying into a puffy cloud.
train track park,train parked on the tracks
train track park,a big train that is parked on a track
train track park,a train parked at the end of some tracks
react match player,player reacts during a match .
react match player,players react after the match .
react match player,football player reacts before the match .
park airport airplane,airplane parked at the airport
park airport airplane,airplanes parked in a row at an airport
park airport airplane,An airplane is parked outside of the airport.
sauce pizza cheese,A plate of pizza with cheese and sauce.
sauce pizza cheese,A pizza with cheese has white sauce on it.
sauce pizza cheese,Two large pizzas covered in sauce and cheese.
tree train track,train tracks through the trees
tree train track,a train on a track near many trees
tree train track,A train on the tracks going by some trees
plane sit tarmac,planes sit on the tarmac
plane sit tarmac,A plane that is sitting on a tarmac.
plane sit tarmac,An old war plane sits on the tarmac.
track building train,a train on a track near a building
track building train,train on elevated tracks within buildings
track building train,A train is on the tracks next to buildings.
runway walk model,models walk the runway as part
runway walk model,fashion model walks the runway
runway walk model,model walk the runway in creations .
match fan player,players greet fans after the match .
match fan player,other players wave at fans at end of the match .
match fan player,football player applauds the fans before a match
sky cloud sun,sun and clouds on the sky
sky cloud sun,sun behind a cloud with blue sky
sky cloud sun,clouds running in the sky with bright sun
sheep grass graze,sheep grazing on the grass
sheep grass graze,a sheep grazes on some green grass 
sheep grass graze,a group of sheeps grazing on grass .
sheep field herd,herd of sheep in a field
sheep field herd,A herd of white sheep on an endless green field.
sheep field herd,there are very large herds of sheep on a big field
wall hang clock,a clock hanging on a wall
wall hang clock,an old antique clock hanging on the wall 
wall hang clock,A wall of wrenches hung up and a red clock
plane airport park,planes parked at an airport
plane airport park,A US Army plane parked in am airport.
plane airport park,A large plane is parked at the airport.
top cheese pizza,A pizza is topped with sauce and cheese.
top cheese pizza,lastly topping with cheese and assembly of the pizzas
top cheese pizza,Whole fresh baked cheese topped pizza on serving board.
keyboard hand type,hands typing on a keyboard
keyboard hand type,man typing on the keyboard of the hand
keyboard hand type,female hands typing on keyboard of laptop in train .
horse graze pasture,horses graze in a pasture
horse graze pasture,plump horses graze on pasture
horse graze pasture,the horse is grazing in the pasture
bathroom tub shower,A bathroom has a tub but no shower.
bathroom tub shower,front bathroom with shower over tub .
bathroom tub shower,A bathroom with an enclosed tub and shower.
track city train,train on the track in city
track city train,A train on tracks outside of a city
track city train,A train going down the track near a city
track train drive,A train is driving on the tracks.
track train drive,Many trains drive on top of train tracks. 
track train drive,Two white trains drive along the train track.
travel train bridge,A blue train traveling over a  bridge.
travel train bridge,Two trains travel on tracks on a bridge
travel train bridge,Two fast trains travel along an old bridge.
bridge pass boat,boats pass an open bridge
bridge pass boat,boat passing under a bridge
bridge pass boat,boat passes under the bridge
chair table window,a table with chairs near a window 
chair table window,reclining chair and table by the window
sky cloud day,sky with clouds on a sunny day
sky cloud day,blue sky in a cloud covered day
sky cloud day,clouds and skies in the sunny day
sheep field flock,flock of sheep in a field
sheep field flock,flock of sheep lying on the field
sheep field flock,flock of sheep grazing on a green field in the countryside
garden flower grow,flowers grown in a garden
garden flower grow,dahlia flower growing in the garden
garden flower grow,fast growing flowers for your garden .
room couch fireplace,A couch in a living room by a fireplace.
room couch fireplace,There is a room with a fireplace and couches.
wall bathroom mirror,A mirror on a wall in a bathroom. 
wall bathroom mirror,a bathroom with pink walls and a big mirror 
wall bathroom mirror,A bathroom decorated with mirrors on the wall.
tower top building,water tower on top of a building
tower top building,the tower and small building at the top .
tower top building,a large building with a clock tower at top.
stop train track,train which has stopped on tracks
stop train track,trains stop high speed on the tracks
stop train track,a very long train stopped on the track
table topping pizza,a pizza with toppings on it on a table
table topping pizza,The pizza on the table has many toppings.
table topping pizza,A pizza with topping that has been served to a table
decorate flower cake,a cake decorated by flowers .
decorate flower cake,decorating the wedding cake with flowers
decorate flower cake,learn how to decorate a cake with flowers
fish sale market,fish for sale the market
fish sale market,fish for sale in a market
fish sale market,fish on sale in the market
train front track,front of a train on the tracks
train front track,Train comes down tracks in front of old castle.
train front track,A train with a yellow front next to an empty track.
coffee donut cup,a cup of coffee and a donut
coffee donut cup,cup of coffee with donuts on the wood .
coffee donut cup,Two plain donuts next to a cup of coffee.
cattle field herd,herd of cattle in a field
cattle field herd,A herd of cattle grazing on lush green field.
cattle field herd,couple out in the field checking on herd of cattle
bathroom hang towel,towel hangs on the wall in bathroom
bathroom hang towel,There is a towel hanging in the bathroom.
bathroom hang towel,An all white bathroom with a hanging towel
student study library,students study in the library
student study library,a student studying in a library
student study library,student studying at the library
meadow graze horse,horses graze in a meadow
meadow graze horse,horse grazing on a meadow
meadow graze horse,horse grazing the grass in the meadow
countryside train travel,train traveling through the countryside
countryside train travel,travelling on a train through countryside .
countryside train travel,A train traveling along a lush green countryside.
mountain sky cloud,mountain under the blue sky with clouds .
mountain sky cloud,wide shot of clouds in the sky and mountains
mountain sky cloud,trees on a mountain under white clouds in the sky .
station train travel,train on the station who travel
station train travel,A red train traveling down a train station.
station train travel,An electric train traveling next to its station
couch wall room,a living room with couches near a wall
couch wall room,This living room has a gray couch and blue walls
couch wall room,A room with three TVs in the wall and a large couch.
sit airplane airport,airplanes sit at a flooded airport .
sit airplane airport,An airplane sits on a runway in a airport
sit airplane airport,A twin engine airplane sitting at an airport.
image computer generate,computer generated image of cockpit
image computer generate,a computer generated image of the new building
image computer generate,computer generated image of ship class for armed force
take airplane airport,airplane taking off in the airport
take airplane airport,An airplane is taking off at an airport.
take airplane airport,an airplane takes off from a nearby airport .
dock port ship,a ship docked in port
dock port ship,ships dock at the port
dock port ship,ship docked on the commercial port
sky sun rise,sun rising in the sky
sky sun rise,sun rising through shiny fog on the sky
sky sun rise,animation of sun rising on a clear sky .
athlete win medal,olympic athlete won gold medals
athlete win medal,a happy athlete just won two medals
athlete win medal,man wins the gold medal ahead of athletes
sit plane airport,a plane sits at an airport .
sit plane airport,There is a plane sitting at the airport.
sit plane airport,planes sit on the tarmac at an airport .
concert perform singer,A singer performs at a concert
concert perform singer,singer performs in the concert
concert perform singer,singers perform during a concert
family celebrate holiday,A family celebrating a holiday
